airline,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
AAB,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AAL,5542,20396,18881,18524,18410,19210,18744,20040,20302,20352,20941,19156,12752,8160,8023,6005,5029,4739
AAR,251,921,906,882,852,893,842,835,807,678,452,369,341,289,286,281,304,310
AAV,6,22,19,23,19,21,21,21,19,10,0,0,0,0,0,0,0,0
AAW,2,7,7,6,5,9,7,6,9,7,10,4,0,0,0,0,0,0
AAY,485,2066,1577,1524,1561,1663,1804,2333,2371,2347,2569,2471,1442,392,257,195,178,244
ABB,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ABD,0,5,5,9,8,10,8,6,6,10,13,11,24,16,9,6,8,11
ABG,3,8,9,10,6,10,10,8,8,9,7,6,7,2,0,0,0,0
ABL,54,183,183,175,159,174,178,170,144,88,36,32,28,49,63,50,42,44
ABN,4,14,14,15,13,14,9,6,7,13,14,12,8,6,0,0,1,1
ABQ,23,71,62,69,71,81,70,62,89,83,84,81,19,0,0,0,0,0
ABR,0,5,7,7,7,7,6,7,7,3,0,0,0,0,0,0,0,0
ABW,16,70,73,87,58,28,37,41,42,60,72,99,101,99,74,54,52,69
ABX,23,271,272,250,253,256,254,249,266,272,261,250,249,264,285,268,237,236
ABY,200,747,731,714,677,704,654,702,652,677,574,378,98,0,0,0,7,9
ACA,804,2879,2549,2493,2535,2596,2554,2740,2707,2878,2893,2608,1637,738,523,375,340,278
ACI,1,12,8,5,8,4,5,5,5,4,3,3,1,0,0,0,0,0
ADO,36,150,153,153,157,157,156,160,145,148,141,136,130,130,105,88,64,42
AEA,206,741,742,735,747,763,746,747,752,685,658,463,79,18,14,17,15,14
AEE,147,505,449,417,413,412,415,421,436,355,306,205,52,0,0,0,0,0
AFG,2,4,1,1,3,5,4,5,3,4,6,5,1,1,1,0,1,1
AFL,1297,5029,4960,4804,4770,5068,4987,4925,4999,4828,4672,3918,3152,1906,594,482,421,495
AFR,1275,5132,4999,4958,4922,5067,4998,5053,5212,4382,3858,2805,989,187,110,105,89,87
AHK,29,115,120,122,100,106,125,125,130,135,152,158,151,153,153,143,151,159
AHY,6,65,56,58,61,63,66,62,60,61,67,53,7,1,0,0,0,0
AIC,529,1917,1884,1819,1817,1922,1985,1968,1994,1985,2013,1861,735,22,37,19,17,7
AIE,2,5,6,3,13,6,4,2,8,2,0,1,0,0,0,0,1,2
AIJ,112,446,399,399,401,456,443,438,439,375,377,348,133,25,9,4,2,0
AIP,15,52,51,46,60,65,69,55,55,54,51,53,53,47,53,56,62,77
AIQ,433,1555,1629,1619,1660,1676,1630,1607,1579,1553,1479,1338,1008,563,0,0,0,0
AIZ,9,17,34,17,11,15,11,5,13,10,5,0,0,2,0,0,0,0
AJK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AJT,5,65,82,78,98,93,97,90,87,99,102,94,87,86,84,59,71,63
AJX,3,12,10,14,13,11,11,12,11,8,6,6,0,4,1,5,3,5
ALK,142,502,483,484,503,511,508,483,462,456,455,336,43,22,16,13,17,8
AMB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMC,69,242,222,222,184,196,213,203,228,199,174,101,27,18,16,19,18,19
AMU,50,175,175,181,172,115,50,28,29,61,64,75,47,14,11,14,10,12
AMX,140,571,441,374,375,417,410,399,409,379,394,381,251,126,77,54,36,29
ANA,1251,4346,4179,3903,3911,4083,3939,3793,3816,3758,3392,3075,3048,2786,2460,1779,789,546
ANE,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANG,4,20,21,22,13,14,18,14,16,12,14,14,8,5,7,4,3,3
ANO,8,23,20,22,24,25,26,23,21,26,21,20,16,2,1,0,0,1
ANT,1,11,15,14,20,21,20,20,19,19,21,19,14,6,1,0,1,0
ANZ,324,1125,1106,1091,1149,1196,1190,1190,1196,1176,1148,1060,866,249,80,82,78,61
APG,149,549,467,545,545,572,538,534,530,518,502,222,0,0,0,0,0,0
APJ,108,401,400,362,381,404,382,355,362,312,278,277,259,243,239,93,99,69
APK,0,2,2,2,1,1,1,2,2,0,1,0,0,0,0,0,0,0
ARG,274,773,789,1049,1077,975,1036,1007,997,683,989,802,111,25,10,4,11,8
ART,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
ARU,0,0,0,1,0,1,1,1,1,1,1,0,2,0,0,0,0,0
ASA,1368,4763,4104,4156,4157,4399,4332,4465,4529,4445,4470,4296,3619,2427,1372,638,595,550
ASH,1133,4293,3980,3868,4009,4109,4138,4159,4210,4001,4094,3994,2843,1782,1668,1068,898,845
ASJ,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
ASL,48,184,141,140,158,160,147,156,164,122,98,69,3,7,2,6,5,0
ASQ,591,2375,2203,2139,2188,2323,2343,2820,2831,2682,2523,2526,1727,887,703,586,508,493
ASV,17,61,59,66,69,62,61,62,59,14,0,0,0,0,0,0,0,0
ATG,0,4,4,5,2,0,0,0,0,2,10,13,5,14,4,4,0,0
ATN,6,430,429,402,396,409,417,412,414,406,401,372,384,389,372,359,361,358
AUA,434,1624,1586,1543,1533,1612,1619,1700,1713,1759,1303,596,25,24,20,18,10,12
AUI,91,388,355,334,342,360,349,368,364,349,329,187,13,5,0,0,0,1
AUL,45,225,180,153,152,161,143,145,165,156,175,161,158,97,31,36,23,25
AUR,3,6,9,8,10,11,15,12,13,13,8,11,4,0,0,0,0,0
AVA,568,2140,2198,2053,2098,2228,2142,2103,2190,1985,2024,1731,597,1,2,3,4,3
AVJ,0,0,4,6,5,6,9,10,9,3,5,3,0,0,0,0,0,0
AVN,6,27,27,26,27,12,16,18,19,20,22,18,6,0,0,0,0,0
AWC,0,0,0,0,0,0,0,0,3,3,2,2,2,0,0,0,0,0
AWI,397,1711,1540,1525,1649,1653,1516,1678,1708,1523,1419,1385,906,641,422,351,310,323
AWQ,169,608,615,490,493,537,566,514,504,521,547,501,54,12,0,0,0,0
AWT,6,26,26,27,26,23,25,23,27,15,5,0,0,0,0,0,0,0
AXB,74,291,285,260,226,258,246,266,260,272,263,263,55,0,0,2,4,2
AXE,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2
AXM,1034,3653,3545,3548,3639,3657,3462,3293,3226,3008,2800,2338,179,39,27,25,10,42
AXY,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AZA,683,2516,2301,2387,2365,2426,2423,2424,2207,1837,1055,416,361,284,256,166,163,176
AZG,0,11,17,18,14,13,12,18,22,22,28,32,22,27,24,26,28,31
AZO,13,66,65,60,65,65,73,73,78,74,77,75,59,51,30,27,31,32
AZU,484,2270,2244,2042,2200,2401,2547,2569,2019,2415,2478,2028,884,101,29,12,7,10
BAV,58,207,213,184,205,211,202,138,174,193,151,93,29,7,2,8,23,83
BAW,1136,4219,3870,3827,3808,4072,3905,4096,4282,4178,3981,3064,1404,640,331,241,286,255
BBC,3,5,7,6,5,8,3,5,6,7,6,2,0,0,0,0,0,0
BCS,6,46,58,58,50,56,59,56,59,59,50,59,67,63,61,47,55,46
BCY,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
BDR,2,6,4,5,5,5,5,4,5,4,5,2,1,0,0,0,0,0
BEE,33,94,93,103,88,126,99,97,98,49,0,0,0,0,0,0,0,0
BEL,273,1071,1023,1063,1067,1132,1074,1159,1236,1203,932,544,33,7,0,0,2,2
BGA,1,4,8,7,9,8,2,5,4,5,6,1,3,1,4,0,4,2
BHS,7,45,51,31,21,28,39,40,36,29,44,39,17,0,0,0,0,0
BKP,268,951,948,924,949,970,981,966,982,932,850,776,517,193,67,0,0,0
BLX,11,58,54,47,55,52,48,47,48,47,47,35,19,6,0,0,0,0
BMJ,22,82,73,63,71,75,83,82,79,74,53,53,46,63,67,64,60,69
BML,0,2,2,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0
BMS,15,136,132,136,128,132,136,83,0,0,0,0,0,0,0,0,0,0
BOS,4,15,10,8,8,9,12,14,12,8,6,7,0,0,0,0,0,0
BOV,15,109,111,104,110,121,105,119,161,140,123,109,15,2,0,0,0,2
BOX,34,170,192,197,167,185,189,192,193,191,192,189,188,178,179,174,180,176
BPA,14,38,37,24,30,33,33,29,30,28,15,7,1,1,0,0,0,0
BRQ,1,9,10,4,5,10,10,10,9,3,1,0,0,0,0,0,0,0
BRU,138,557,555,537,534,550,548,546,537,535,539,455,240,143,95,74,76,90
BRX,50,143,172,219,202,235,215,215,210,279,292,233,61,52,11,0,0,0
BSK,10,44,45,46,53,64,67,90,61,78,83,48,25,6,0,2,0,1
BTI,189,598,564,562,559,559,551,552,570,474,429,217,11,6,0,4,4,4
BTK,119,463,438,306,285,325,391,357,340,339,406,320,275,226,165,171,147,15
BTN,3,17,15,6,7,11,14,10,17,15,2,0,0,0,0,0,0,0
BTQ,103,419,559,596,644,501,507,579,624,618,629,592,551,598,621,562,589,593
BTZ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BWA,46,185,144,171,185,209,214,211,213,204,202,155,33,6,7,4,4,2
CAI,3,7,3,2,3,2,4,7,5,1,1,2,4,0,0,0,0,0
CAL,285,995,964,977,946,937,820,726,631,534,465,465,424,400,402,409,398,388
CAO,11,38,42,41,32,9,36,51,47,50,46,57,54,54,56,59,63,53
CAV,0,0,8,4,6,9,4,6,3,4,6,3,1,0,0,3,1,2
CAW,35,118,82,117,120,118,105,107,107,111,120,113,78,0,0,0,0,0
CAY,10,38,44,36,31,47,37,26,1,4,3,3,1,1,2,1,0,1
CBG,7,25,29,30,27,24,13,14,29,24,13,12,12,12,15,16,20,15
CBJ,25,108,104,99,86,50,40,28,39,35,40,43,18,49,53,51,56,56
