airline,week,numFlights
AAB,9,0.0
AAB,10,0.0
AAB,11,100.0
AAB,12,0.0
AAB,13,0.0
AAB,14,0.0
AAB,15,0.0
AAB,16,0.0
AAB,17,0.0
AAB,18,0.0
AAL,9,97.0
AAL,10,97.0
AAL,11,100.0
AAL,12,91.0
AAL,13,61.0
AAL,14,39.0
AAL,15,38.0
AAL,16,29.0
AAL,17,24.0
AAL,18,23.0
AAR,9,88.0
AAR,10,74.0
AAR,11,49.0
AAR,12,40.0
AAR,13,37.0
AAR,14,31.0
AAR,15,31.0
AAR,16,31.0
AAR,17,33.0
AAR,18,34.0
AAV,9,83.0
AAV,10,43.0
AAV,11,0.0
AAV,12,0.0
AAV,13,0.0
AAV,14,0.0
AAV,15,0.0
AAV,16,0.0
AAV,17,0.0
AAV,18,0.0
AAW,9,90.0
AAW,10,70.0
AAW,11,100.0
AAW,12,40.0
AAW,13,0.0
AAW,14,0.0
AAW,15,0.0
AAW,16,0.0
AAW,17,0.0
AAW,18,0.0
AAY,9,92.0
AAY,10,91.0
AAY,11,100.0
AAY,12,96.0
AAY,13,56.0
AAY,14,15.0
AAY,15,10.0
AAY,16,8.0
AAY,17,7.0
AAY,18,9.0
ABB,9,0.0
ABB,10,0.0
ABB,11,0.0
ABB,12,100.0
ABB,13,100.0
ABB,14,0.0
ABB,15,0.0
ABB,16,0.0
ABB,17,0.0
ABB,18,0.0
ABD,9,25.0
ABD,10,42.0
ABD,11,54.0
ABD,12,46.0
ABD,13,100.0
ABD,14,67.0
ABD,15,38.0
ABD,16,25.0
ABD,17,33.0
ABD,18,46.0
ABG,9,80.0
ABG,10,90.0
ABG,11,70.0
ABG,12,60.0
ABG,13,70.0
ABG,14,20.0
ABG,15,0.0
ABG,16,0.0
ABG,17,0.0
ABG,18,0.0
ABL,9,79.0
ABL,10,48.0
ABL,11,20.0
ABL,12,17.0
ABL,13,15.0
ABL,14,27.0
ABL,15,34.0
ABL,16,27.0
ABL,17,23.0
ABL,18,24.0
ABN,9,47.0
ABN,10,87.0
ABN,11,93.0
ABN,12,80.0
ABN,13,53.0
ABN,14,40.0
ABN,15,0.0
ABN,16,0.0
ABN,17,7.0
ABN,18,7.0
ABQ,9,100.0
ABQ,10,93.0
ABQ,11,94.0
ABQ,12,91.0
ABQ,13,21.0
ABQ,14,0.0
ABQ,15,0.0
ABQ,16,0.0
ABQ,17,0.0
ABQ,18,0.0
ABR,9,100.0
ABR,10,43.0
ABR,11,0.0
ABR,12,0.0
ABR,13,0.0
ABR,14,0.0
ABR,15,0.0
ABR,16,0.0
ABR,17,0.0
ABR,18,0.0
ABW,9,42.0
ABW,10,59.0
ABW,11,71.0
ABW,12,98.0
ABW,13,100.0
ABW,14,98.0
ABW,15,73.0
ABW,16,53.0
ABW,17,51.0
ABW,18,68.0
ABX,9,93.0
ABX,10,95.0
ABX,11,92.0
ABX,12,88.0
ABX,13,87.0
ABX,14,93.0
ABX,15,100.0
ABX,16,94.0
ABX,17,83.0
ABX,18,83.0
ABY,9,87.0
ABY,10,91.0
ABY,11,77.0
ABY,12,51.0
ABY,13,13.0
ABY,14,0.0
ABY,15,0.0
ABY,16,0.0
ABY,17,1.0
ABY,18,1.0
ACA,9,94.0
ACA,10,99.0
ACA,11,100.0
ACA,12,90.0
ACA,13,57.0
ACA,14,26.0
ACA,15,18.0
ACA,16,13.0
ACA,17,12.0
ACA,18,10.0
ACI,9,42.0
ACI,10,33.0
ACI,11,25.0
ACI,12,25.0
ACI,13,8.0
ACI,14,0.0
ACI,15,0.0
ACI,16,0.0
ACI,17,0.0
ACI,18,0.0
ADO,9,91.0
ADO,10,93.0
ADO,11,88.0
ADO,12,85.0
ADO,13,81.0
ADO,14,81.0
ADO,15,66.0
ADO,16,55.0
ADO,17,40.0
ADO,18,26.0
AEA,9,99.0
AEA,10,90.0
AEA,11,86.0
AEA,12,61.0
AEA,13,10.0
AEA,14,2.0
AEA,15,2.0
AEA,16,2.0
AEA,17,2.0
AEA,18,2.0
AEE,9,86.0
AEE,10,70.0
AEE,11,61.0
AEE,12,41.0
AEE,13,10.0
AEE,14,0.0
AEE,15,0.0
AEE,16,0.0
AEE,17,0.0
AEE,18,0.0
AFG,9,50.0
AFG,10,67.0
AFG,11,100.0
AFG,12,83.0
AFG,13,17.0
AFG,14,17.0
AFG,15,17.0
AFG,16,0.0
AFG,17,17.0
AFG,18,17.0
AFL,9,99.0
AFL,10,95.0
AFL,11,92.0
AFL,12,77.0
AFL,13,62.0
AFL,14,38.0
AFL,15,12.0
AFL,16,10.0
AFL,17,8.0
AFL,18,10.0
AFR,9,100.0
AFR,10,84.0
AFR,11,74.0
AFR,12,54.0
AFR,13,19.0
AFR,14,4.0
AFR,15,2.0
AFR,16,2.0
AFR,17,2.0
AFR,18,2.0
AHK,9,82.0
AHK,10,85.0
AHK,11,96.0
AHK,12,99.0
AHK,13,95.0
AHK,14,96.0
AHK,15,96.0
AHK,16,90.0
AHK,17,95.0
AHK,18,100.0
AHY,9,90.0
AHY,10,91.0
AHY,11,100.0
AHY,12,79.0
AHY,13,10.0
AHY,14,1.0
AHY,15,0.0
AHY,16,0.0
AHY,17,0.0
AHY,18,0.0
AIC,9,99.0
AIC,10,99.0
AIC,11,100.0
AIC,12,92.0
AIC,13,37.0
AIC,14,1.0
AIC,15,2.0
AIC,16,1.0
AIC,17,1.0
AIC,18,0.0
AIE,9,62.0
AIE,10,15.0
AIE,11,0.0
AIE,12,8.0
AIE,13,0.0
AIE,14,0.0
AIE,15,0.0
AIE,16,0.0
AIE,17,8.0
AIE,18,15.0
AIJ,9,96.0
AIJ,10,82.0
AIJ,11,83.0
AIJ,12,76.0
AIJ,13,29.0
AIJ,14,5.0
AIJ,15,2.0
AIJ,16,1.0
AIJ,17,0.0
AIJ,18,0.0
AIP,9,71.0
AIP,10,70.0
AIP,11,66.0
AIP,12,69.0
AIP,13,69.0
AIP,14,61.0
AIP,15,69.0
AIP,16,73.0
AIP,17,81.0
AIP,18,100.0
AIQ,9,94.0
