airport,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
total,26744,103650,98680,92755,97230,99431,100806,104286,105977,101353,103730,98763,71335,51578,41399,33306,28433,28054
KABQ,238,845,760,716,660,789,796,859,850,872,884,840,678,482,435,383,284,300
KADW,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
KAFW,6,131,49,90,110,118,97,113,69,77,97,119,132,114,127,95,110,113
KATL,1898,7878,7759,7078,7546,7641,8022,7734,7961,7541,7663,7297,4325,3323,2503,2245,1915,1837
KAUS,461,1501,1337,1169,1219,1279,1278,1342,1326,1528,1696,1652,1086,729,536,403,417,398
KAVL,0,0,1,1,0,0,0,0,0,0,4,4,1,3,1,1,1,0
KBDL,0,2,1,25,22,10,10,13,9,4,12,14,6,3,0,0,12,14
KBFI,17,119,363,253,90,117,117,112,143,127,90,75,77,66,66,70,60,71
KBHM,0,0,0,5,3,2,0,0,4,1,1,0,4,1,0,1,0,1
KBLV,4,9,5,6,5,6,4,12,12,12,20,21,10,0,0,0,0,0
KBMI,9,36,24,40,28,25,25,26,29,35,31,36,28,17,7,4,3,4
KBNA,604,2305,2224,2077,2225,2286,2352,2397,2382,1989,2333,2217,1555,1127,917,713,598,618
KBOI,230,792,782,721,737,782,803,772,786,792,821,804,645,514,336,236,186,178
KBOS,1056,4129,4117,3837,4111,4157,4286,4287,4376,4212,4198,3972,2749,1757,1120,1003,804,775
KBUF,192,808,684,710,606,630,630,666,837,825,806,802,549,340,237,182,164,163
KBWI,719,2671,2494,2326,2457,2535,2573,2598,2498,2477,2682,2528,1961,1530,1233,950,788,751
KCAE,92,389,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCHA,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
KCID,1,8,2,10,3,3,12,9,0,0,0,0,1,1,5,0,0,1
KCLE,202,899,842,896,963,1122,1012,958,967,817,1031,1021,744,522,356,193,213,188
KCLT,1064,3403,3619,2724,2585,2482,2483,2767,2709,2558,2907,2610,1960,1432,1498,1407,1252,1070
KCMH,369,1410,1332,1258,1340,1350,1380,1390,1373,1351,1371,1312,825,704,529,409,328,316
KCOS,94,337,271,265,285,305,298,301,277,259,278,258,181,136,146,105,91,106
KCRP,0,142,163,146,106,136,149,163,151,148,179,134,0,0,0,0,0,0
KCVG,355,1502,1627,1231,1291,1340,1301,1298,1492,1588,1628,1252,1005,960,724,689,614,620
KDAB,30,115,119,106,109,106,105,121,120,101,109,93,71,45,45,44,39,29
KDAL,538,1958,1831,1812,1877,1981,2021,1993,2018,2006,2039,1730,1574,1055,960,735,605,557
KDAY,100,468,429,419,446,437,450,466,468,435,420,403,320,267,194,151,108,120
KDBQ,7,20,19,17,17,20,17,15,17,21,17,18,17,12,13,8,7,5
KDCA,729,3309,3373,3159,3392,3513,3426,3544,3563,3445,3472,3145,2000,1505,1121,885,721,712
KDEN,1146,3840,3524,3773,4315,4659,4454,4419,4143,4228,4562,4382,3146,2059,1731,1601,1227,1199
KDFW,1465,5664,5103,5073,5147,5455,5512,5791,5853,5813,5927,5403,3846,2871,2742,2193,1803,1805
KDSM,0,4,2,4,0,2,3,3,0,0,0,0,0,0,0,0,0,0
KDTW,479,3585,2130,1894,2765,3233,3599,3529,3698,3739,2103,1669,1133,863,933,1125,965,1054
KERI,0,67,53,46,54,64,56,69,62,67,44,49,9,6,6,2,10,6
KEWR,1105,4141,3935,3709,3957,4129,4236,4322,4267,4065,4121,3903,2441,1308,681,418,415,417
KFLL,781,2819,2790,2582,2628,2879,2969,3010,2867,2715,2914,2868,2124,1404,1093,639,312,356
KFSM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KFTW,1,8,3,3,4,5,3,7,6,6,7,4,1,3,1,2,0,0
KFWA,41,137,151,148,150,128,145,134,140,152,123,98,99,94,65,57,45,38
KGEG,20,92,224,155,56,140,80,145,104,130,144,283,143,100,100,56,36,31
KGRB,39,208,208,185,223,216,218,198,207,191,167,182,141,130,68,60,44,55
KGSO,2,12,15,6,6,2,6,125,271,243,294,232,170,129,104,73,54,53
KGSP,0,0,0,0,0,0,0,3,3,1,3,8,14,15,62,25,43,36
KGUS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KHOU,431,1483,1442,1380,1287,1394,1425,1458,1403,1424,1530,1410,1041,667,697,540,434,379
KHSV,36,200,197,227,206,205,251,277,298,259,242,235,161,118,90,90,59,68
KHTS,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
