icao,name,city,state,country,lat,long,maxTraffic
KABQ,Albuquerque International Sunport,Albuquerque,NM,US,35.04,-106.609,884
KADW,Joint Base Andrews,Camp Springs,MD,US,38.811,-76.867,1
KAFW,Fort Worth Alliance Airport,Fort Worth,TX,US,32.988,-97.319,132
KAGS,Augusta Regional At Bush Field,Augusta,GA,US,33.37,-81.965,0
KAMA,Rick Husband Amarillo International Airport,Amarillo,TX,US,35.219,-101.706,0
KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,US,33.637,-84.428,8305
KAUS,Austin Bergstrom International Airport,Austin,TX,US,30.194,-97.67,1696
KAVL,Asheville Regional Airport,Asheville,NC,US,35.436,-82.542,4
KBDL,Bradley International Airport,Hartford,CT,US,41.939,-72.683,25
KBFI,Boeing Field King County International Airport,Seattle,WA,US,47.53,-122.302,363
KBGR,Bangor International Airport,Bangor,ME,US,44.807,-68.828,0
KBHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,US,33.563,-86.754,5
KBIL,Billings Logan International Airport,Billings,MT,US,45.808,-108.543,0
KBLV,Scott AFB/Midamerica Airport,Belleville,IL,US,38.545,-89.835,21
KBMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,IL,US,40.477,-88.916,40
KBNA,Nashville International Airport,Nashville,TN,US,36.125,-86.678,2574
KBOI,Boise Air Terminal/Gowen Field,Boise,ID,US,43.564,-116.223,820
KBOS,General Edward Lawrence Logan International Airport,Boston,MA,US,42.364,-71.005,4740
KBUF,Buffalo Niagara International Airport,Buffalo,NY,US,42.94,-78.732,887
KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,US,39.175,-76.668,2659
KCAE,Columbia Metropolitan Airport,Columbia,SC,US,33.939,-81.119,420
KCHA,Lovell Field,Chattanooga,TN,US,35.035,-85.204,1
KCID,The Eastern Iowa Airport,Cedar Rapids,IA,US,41.885,-91.711,12
KCLE,Cleveland Hopkins International Airport,Cleveland,OH,US,41.412,-81.85,1244
KCLT,Charlotte Douglas International Airport,Charlotte,NC,US,35.214,-80.943,3767
KCMH,John Glenn Columbus International Airport,Columbus,OH,US,39.998,-82.892,1538
KCOS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,US,38.806,-104.701,337
KCRP,Corpus Christi International Airport,Corpus Christi,TX,US,27.77,-97.501,179
KCRW,Yeager Airport,Charleston,WV,US,38.373,-81.593,0
KCVG,Cincinnati Northern Kentucky International Airport,Cincinnati,KY,US,39.049,-84.668,1703
KDAB,Daytona Beach International Airport,Daytona Beach,FL,US,29.18,-81.058,123
KDAL,Dallas Love Field,Dallas,TX,US,32.847,-96.852,2100
KDAY,James M Cox Dayton International Airport,Dayton,OH,US,39.902,-84.219,505
KDBQ,Dubuque Regional Airport,Dubuque,IA,US,42.402,-90.71,21
KDCA,Ronald Reagan Washington National Airport,Washington,DC,US,38.852,-77.038,3783
KDEN,Denver International Airport,Denver,CO,US,39.862,-104.673,4729
KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,US,32.897,-97.038,6114
KDLF,DLF Airport,Del Rio,TX,US,29.36,-100.778,0
KDLH,Duluth International Airport,Duluth,MN,US,46.842,-92.194,0
KDSM,Des Moines International Airport,Des Moines,IA,US,41.534,-93.663,4
KDTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,US,42.212,-83.353,3892
KERI,Erie International Tom Ridge Field,Erie,PA,US,42.083,-80.174,69
KEWR,Newark Liberty International Airport,Newark,NJ,US,40.64,-74.25,4258
KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,US,26.073,-80.153,3163
KFSM,Fort Smith Regional Airport,Fort Smith,AR,US,35.337,-94.367,1
KFTW,Fort Worth Meacham International Airport,Fort Worth,TX,US,32.82,-97.362,8
KFWA,Fort Wayne International Airport,Fort Wayne,IN,US,40.979,-85.195,152
KGEG,Spokane International Airport,Spokane,WA,US,47.62,-117.534,283
KGPT,Gulfport Biloxi International Airport,Gulfport,MS,US,30.407,-89.07,0
KGRB,Austin Straubel International Airport,Green Bay,WI,US,44.485,-88.13,223
KGSO,Piedmont Triad International Airport,Greensboro,NC,US,36.098,-79.937,339
KGSP,Greenville Spartanburg International Airport,Greenville,SC,US,34.896,-82.219,62
KGUS,Grissom Air Reserve Base,Peru,IN,US,40.648,-86.152,1
KHIB,Range Regional Airport,Hibbing,MN,US,47.387,-92.839,0
KHOU,William P Hobby Airport,Houston,TX,US,29.645,-95.279,1560
KHSV,Huntsville International Carl T Jones Field,Huntsville,AL,US,34.637,-86.775,298
KHTS,Tri-State/Milton J. Ferguson Field,Huntington,WV,US,38.367,-82.558,1
KIAD,Washington Dulles International Airport,Washington,DC,US,38.944,-77.456,2130
KIAH,George Bush Intercontinental Houston Airport,Houston,TX,US,29.984,-95.341,4156
KICT,Wichita Eisenhower National Airport,Wichita,KS,US,37.65,-97.433,0
KIND,Indianapolis International Airport,Indianapolis,IN,US,39.717,-86.294,672
KJAN,Jackson-Medgar Wiley Evers International Airport,Jackson,MS,US,32.311,-90.076,0
KJAX,Jacksonville International Airport,Jacksonville,FL,US,30.494,-81.688,4
KJFK,John F Kennedy International Airport,New York,NY,US,40.64,-73.75,3581
KJLN,Joplin Regional Airport,Joplin,MO,US,37.152,-94.498,0
KLAS,McCarran International Airport,Las Vegas,NV,US,36.08,-115.152,5131
KLAX,Los Angeles International Airport,Los Angeles,CA,US,33.943,-118.408,6656
KLBB,Lubbock Preston Smith International Airport,Lubbock,TX,US,33.664,-101.823,0
KLCK,Rickenbacker International Airport,Columbus,OH,US,39.814,-82.928,47
KLEX,Blue Grass Airport,Lexington,KY,US,38.036,-84.606,1
KLFT,Lafayette Regional Airport,Lafayette,LA,US,30.205,-91.988,0
KLGA,La Guardia Airport,yes,New York,US,40.64,-74.0,4575
KLIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,AR,US,34.729,-92.224,1
KMBS,MBS International Airport,Saginaw,MI,US,43.533,-84.08,111
KMCI,Kansas City International Airport,Kansas City,MO,US,39.298,-94.714,1770
