week,startCode,destCode,amount
1,KABQ,KATL,5
1,KABQ,KAUS,2
1,KABQ,KBWI,2
1,KABQ,KDAL,8
1,KABQ,KDEN,6
1,KABQ,KDFW,11
1,KABQ,KHOU,5
1,KABQ,KIAH,8
1,KABQ,KJFK,2
1,KABQ,KLAS,7
1,KABQ,KLAX,9
1,KABQ,KMCI,2
1,KABQ,KMDW,4
1,KABQ,KMSP,1
1,KABQ,KOAK,5
1,KABQ,KORD,7
1,KABQ,KPDX,1
1,KABQ,KPHX,19
1,KABQ,KSAN,1
1,KABQ,KSEA,2
1,KABQ,KSFO,4
1,KABQ,KSJC,1
1,KAFW,KFLL,1
1,KAFW,KJFK,1
1,KAFW,KMSP,1
1,KAFW,KOAK,1
1,KAFW,KORD,1
1,KAFW,KTPA,1
1,KATL,KABQ,4
1,KATL,KATL,8
1,KATL,KAUS,8
1,KATL,KBMI,3
1,KATL,KBNA,16
1,KATL,KBOS,24
1,KATL,KBUF,7
1,KATL,KBWI,29
1,KATL,KCAE,9
1,KATL,KCLE,1
1,KATL,KCLT,19
1,KATL,KCMH,16
1,KATL,KCOS,2
1,KATL,KCVG,11
1,KATL,KDAB,8
1,KATL,KDAL,16
1,KATL,KDAY,6
1,KATL,KDCA,27
1,KATL,KDEN,15
1,KATL,KDFW,31
1,KATL,KDTW,23
1,KATL,KEWR,25
1,KATL,KFLL,44
1,KATL,KFWA,2
1,KATL,KHOU,19
1,KATL,KIAD,18
1,KATL,KIAH,21
1,KATL,KIND,9
1,KATL,KJFK,18
1,KATL,KLAS,20
1,KATL,KLAX,29
1,KATL,KMCI,14
1,KATL,KMCO,10
1,KATL,KMDW,21
1,KATL,KMIA,36
1,KATL,KMKE,13
1,KATL,KMSN,4
1,KATL,KMSP,12
1,KATL,KOAK,2
1,KATL,KOMA,7
1,KATL,KORD,31
1,KATL,KORF,12
1,KATL,KPDX,6
1,KATL,KPHF,5
1,KATL,KPHL,26
1,KATL,KPHX,16
1,KATL,KPIA,2
1,KATL,KPVD,3
1,KATL,KRDU,21
1,KATL,KROA,6
1,KATL,KROC,4
1,KATL,KRST,1
1,KATL,KRSW,18
1,KATL,KSAN,8
1,KATL,KSAT,13
1,KATL,KSDF,13
1,KATL,KSEA,14
1,KATL,KSFO,17
1,KATL,KSJC,4
1,KATL,KSLC,5
1,KATL,KSMF,4
1,KATL,KSNA,6
1,KATL,KSRQ,8
1,KATL,KSTL,17
1,KATL,KSYR,2
1,KATL,KTPA,32
1,KATL,KTUL,8
1,KATL,KTUS,2
1,KATL,KTYS,10
1,KATL,KVPS,10
1,KATL,PANC,1
1,KAUS,KABQ,1
1,KAUS,KATL,17
1,KAUS,KBNA,6
1,KAUS,KBOS,7
1,KAUS,KBWI,8
1,KAUS,KCLT,4
